Comment,Designator,Footprint,LCSC Part #
0.1μ,C1,C0402,C285034
1N4007,D1,SMA-DO214AC,C727081
1μ,C2,C0402,C52923
10k,R1 R2 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17,R0402,C269674
100μ,C3 C4,153CLV-0505,C96178
180,R3 R4,R0402,C38941
BLUE,LED25 LED26,SML0603,C118339
NJM7805,REG1,MYPARTS_D-PAK_TO252AA,
PCA9555PW 112,U2,SOP65P640X110-24N,C128392
WS2812B_5050N,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24,WS2812B-NARROW,C2874885